ranking,date,drama_name,drama_intro,drama_score_imdb,drama_score_tomato,drama_country,drama_date,drama_sub1,drama_sub2,flag_original,drama_cast,drama_director,drama_key,drama_type,value,drama_name_zh,drama_sub1_zh,drama_sub2_zh,drama_country_zh
8,2020-08-11,BG: Personal Bodyguard,"Akira Shimazaki (Takuya Kimura) lives with his middle school student son. He used to work as a bodyguard, but, due to an incident, he now works as a security guard at a construction site. The private security company where he works establishes a new bodyguard division. Hiding his past as a bodyguard, Akira Shimazaki begins work as a novice bodyguard.",66,NA,Japan,2018-01-18T00:00:00Z,Drama,NA,FALSE,"Takuya Kimura, Yosuke Eguchi, Takumi Saito, Nanao, Shotaro Mamiya, Yuriko Ishida, Takaya Kamikawa",NA,52,drama,https://flixpatrol.com/title/bg-personal-bodyguard,BG：搏命保鑣,戲劇,NA,日本
8,2020-08-12,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,76,NA,USA,2005-03-27T00:00:00Z,Drama,Doctors,FALSE,"Ellen Pompeo, Justin Chambers, James Pickens Jr., Chandra Wilson, Vanessa Bell Calloway",NA,165,drama,https://flixpatrol.com/title/greys-anatomy,實習醫生,戲劇,醫生,美國
8,2020-08-13,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,76,NA,USA,2005-03-27T00:00:00Z,Drama,Doctors,FALSE,"Ellen Pompeo, Justin Chambers, James Pickens Jr., Chandra Wilson, Vanessa Bell Calloway",NA,165,drama,https://flixpatrol.com/title/greys-anatomy,實習醫生,戲劇,醫生,美國
8,2020-08-14,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,76,NA,USA,2005-03-27T00:00:00Z,Drama,Doctors,FALSE,"Ellen Pompeo, Justin Chambers, James Pickens Jr., Chandra Wilson, Vanessa Bell Calloway",NA,165,drama,https://flixpatrol.com/title/greys-anatomy,實習醫生,戲劇,醫生,美國
8,2020-08-15,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,76,NA,USA,2005-03-27T00:00:00Z,Drama,Doctors,FALSE,"Ellen Pompeo, Justin Chambers, James Pickens Jr., Chandra Wilson, Vanessa Bell Calloway",NA,165,drama,https://flixpatrol.com/title/greys-anatomy,實習醫生,戲劇,醫生,美國
8,2020-08-16,Stranger,In the ‘poor crescent’ around Brussels one child in three lives on the poverty line. But they can find refuge with BX Brussels of Vincent Kompany – a sports and social project. Stranger follows recent immigrant Senegalese football coach Moussa as he struggles to give them hope in their sport … and in their life.,90,NA,Belgium,2017-02-19T00:00:00Z,Documentary,Soccer,FALSE,"Moussa Cissokho, Mohammed Bahrou",Kenneth Michiels,80,drama,https://flixpatrol.com/title/stranger,陌生人,記錄,足球,比利時
8,2020-08-17,Crash Landing on You,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",88,99,South Korea,2019-12-14T00:00:00Z,Comedy,NA,TRUE,"Son Ye-jin, Hyun Bin, Seo Ji-hye, Kim Jung-hyun, Oh Man-seok, Kim Young-min, Yoo Su-bin",Lee Jung-hyo,1,drama,https://flixpatrol.com/title/crash-landing-on-you,愛的迫降,喜劇,NA,韓國
8,2020-08-18,Dark Desire,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",75,NA,Mexico,2020-07-15T00:00:00Z,Drama,Relationship,TRUE,"Maite Perroni, Erik Hayser, Alejandro Speitzer",NA,29,drama,https://flixpatrol.com/title/dark-desire,黑暗慾望,戲劇,關係,墨西哥
8,2020-08-19,Dark Desire,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",75,NA,Mexico,2020-07-15T00:00:00Z,Drama,Relationship,TRUE,"Maite Perroni, Erik Hayser, Alejandro Speitzer",NA,29,drama,https://flixpatrol.com/title/dark-desire,黑暗慾望,戲劇,關係,墨西哥
8,2020-08-20,Dark Desire,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",75,NA,Mexico,2020-07-15T00:00:00Z,Drama,Relationship,TRUE,"Maite Perroni, Erik Hayser, Alejandro Speitzer",NA,29,drama,https://flixpatrol.com/title/dark-desire,黑暗慾望,戲劇,關係,墨西哥
8,2020-08-21,Crash Landing on You,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",88,99,South Korea,2019-12-14T00:00:00Z,Comedy,NA,TRUE,"Son Ye-jin, Hyun Bin, Seo Ji-hye, Kim Jung-hyun, Oh Man-seok, Kim Young-min, Yoo Su-bin",Lee Jung-hyo,1,drama,https://flixpatrol.com/title/crash-landing-on-you,愛的迫降,喜劇,NA,韓國
8,2020-08-22,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
8,2020-08-23,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
8,2020-08-24,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
8,2020-08-25,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
8,2020-08-26,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
8,2020-08-27,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
8,2020-08-28,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
